Name,Value
APTRIAL_force_available,false
APTRIAL_force_overnight,false
APTRIAL_force_purchase,false
AUDIO_activeProcessingMux,SPCStereo
AUDIO_alertChimePeriodMs,1000
AUDIO_alertChimeVolume,0.010
AUDIO_ampVersion,8 (fffff801 0)
AUDIO_audioSource,BluetoothMedia
AUDIO_balance,0.000
AUDIO_configurationType,Premium
AUDIO_dolbyAvailable,true
AUDIO_dolbyPermittedForRadio,false
AUDIO_dolbyProLogicIIxPermitted,true
AUDIO_dspState,Ready
AUDIO_dynamicsRecovery,false
AUDIO_entertainmentMute,false
AUDIO_entertainmentVolume,25.000
AUDIO_eqGainChanged,5
AUDIO_fade,0.000
AUDIO_immersiveEffect,50.000
AUDIO_inputLevel0,0.000
AUDIO_inputLevel1,0.000
AUDIO_inputLevel10,0.000
AUDIO_inputLevel11,0.000
AUDIO_inputLevel12,0.000
AUDIO_inputLevel13,0.000
AUDIO_inputLevel14,0.000
AUDIO_inputLevel15,0.000
AUDIO_inputLevel2,0.000
AUDIO_inputLevel3,0.000
AUDIO_inputLevel4,0.000
AUDIO_inputLevel5,0.000
AUDIO_inputLevel6,0.000
AUDIO_inputLevel7,0.000
AUDIO_inputLevel8,0.000
AUDIO_inputLevel9,0.000
AUDIO_levelsChanged,13896
AUDIO_lockChimePeriodMs,500
AUDIO_lockChimeVolume,0.010
AUDIO_masterMute,false
AUDIO_microphoneRecording,false
AUDIO_navigationVolume,0.044
AUDIO_navigationZones,69
AUDIO_outputLevel0,0.000
AUDIO_outputLevel1,0.000
AUDIO_outputLevel10,0.000
AUDIO_outputLevel11,0.000
AUDIO_outputLevel12,0.000
AUDIO_outputLevel2,0.000
AUDIO_outputLevel3,0.000
AUDIO_outputLevel4,0.000
AUDIO_outputLevel5,0.000
AUDIO_outputLevel6,0.000
AUDIO_outputLevel7,0.000
AUDIO_outputLevel8,0.000
AUDIO_outputLevel9,0.000
AUDIO_phoneRXMute,true
AUDIO_phoneRXVolume,48.000
AUDIO_processingMux,SPCStereo
AUDIO_pwsGain,-20.000
AUDIO_safetyMuteEnabled,false
AUDIO_speedEffect,0.000
AUDIO_tunerMute,false
AUDIO_turnSignalPeriodMs,680
AUDIO_turnSignalVolume,0.007
AUDIO_version,16022901/02000474
AUDIO_volumeMux,DSPC
BC_trailerDetected,<invalid>
BLUETOOTH_A2DPSourceId,0
BLUETOOTH_A2DPSourceName,
BLUETOOTH_A2DPState,Disconnected
BLUETOOTH_HFPState,Disconnected
BLUETOOTH_RSSI,0
BLUETOOTH_address,2F52EDB70390
BLUETOOTH_antennaConnected,false
BLUETOOTH_autoconnectActive,false
BLUETOOTH_checkPairingResults,0
BLUETOOTH_connectedDeviceId,0
BLUETOOTH_connectionsChanged,0
BLUETOOTH_enabled,false
BLUETOOTH_forgetDeviceOperationCounter,0
BLUETOOTH_forgottenDeviceId,0
BLUETOOTH_inquiryEnded,true
BLUETOOTH_inquiryResults,
BLUETOOTH_lastPairedId,0
BLUETOOTH_pairedDeviceInfo,xxx==
BLUETOOTH_pairedDeviceInfoString,1|iPhone X|xxx,
BLUETOOTH_pairingPin,
BLUETOOTH_pairingResults,Failed1
BLUETOOTH_phoneError,None
BLUETOOTH_phoneMake,
BLUETOOTH_phoneModel,
BLUETOOTH_phoneSignalLevel,0
BLUETOOTH_phoneVRStatus,Undefined
BLUETOOTH_phoneVersion,
BLUETOOTH_serviceMode,0
BLUETOOTH_serviceState,Shutdown
BLUETOOTH_startedServices,0
BLUETOOTH_supportedServices,0
BLUETOOTH_version,
BMS_chargePowerAvailable,0.000
BMS_debugDisable,false
BMS_debugEnable,false
BMS_energyBuffer,4.000
BMS_expectedEnergyRemaining,32.600
BMS_idealEnergyRemaining,32.400
BMS_nominalEnergyRemaining,33.200
BMS_nominalFullPackEnergyRemaining,75.900
BTPhoneErrChanged,0
CAPI_keepAliveReason,remote API request
CAPI_keepAliveRequest,0
CAPI_remoteAutopark,Off
CAPI_remoteClosureRequest,None
CAPI_remoteHeartbeat,0
CAPI_remotePreconditionCabinRequest,false
CARSERVER_netStats,-=11.145,-=105.417,-=1.575,-=1.000,-=3.192,-=0.736,-=2.745
CD_displayState,0
CHADA_currentRequest,0
CHADA_evseConnectorTemp,0.000
CHADA_evseCurrentAvailable,0
CHADA_evseProtocolVersion,0
CHADA_flybackVoltage,0.000
CHADA_pcbaTemp,0.000
CHADA_state,0
CHADA_vehicleConnectorTemp,0.000
CHADA_vehicleProtocolVersion,0
CONN_antennaCell,Normal
CONN_antennaCell2,<invalid>
CONN_antennaGPS,<invalid>
CONN_cellAPN,tesla01.com.attz
CONN_cellActive,true
CONN_cellAppVersion,36, AR855X_01.02 AP R9294 CNSZXL00000036 2012/04/26 17:27:18
CONN_cellBand,WCDMA1900, Unknown
CONN_cellBandwidth,
CONN_cellBootVersion,36, AR855X_01.02 BT R9294 CNSZXL00000036 2012/04/26 17:27:18
CONN_cellCapabilities,
CONN_cellChannel,562, 65535
CONN_cellConnected,true
CONN_cellDialAttempts,0
CONN_cellEMMState,
CONN_cellEid,
CONN_cellErrorCode,<invalid>
CONN_cellGMMState,REGISTERED NORMAL SERVICE
CONN_cellGPRSBearer,
CONN_cellGPRSState,
CONN_cellGeneralIndicator,<invalid>
CONN_cellIMEI,xxx
CONN_cellInterfaceIP,xxx
CONN_cellInternetCheckFailed,0
CONN_cellLimitedService,false
CONN_cellLocalTime,Sun Nov 11 14:13:40 2018
CONN_cellMMState,IDLE NORMAL SERVICE
CONN_cellMode,ONLINE
CONN_cellModel,8550
CONN_cellModemIP,"xxx"
CONN_cellModemRecoveryResets,0
CONN_cellNetwork,3G
CONN_cellOperator,AT&T
CONN_cellPSState,Attached
CONN_cellPhoneNumber,xxx
CONN_cellReceivePower,-81
CONN_cellSMSCounter,0
CONN_cellSearch,false
CONN_cellSignalBars,3
CONN_cellSignalStrength,-81
CONN_cellSimNumber,xxx
CONN_cellSimSelection,<invalid>
CONN_cellSystemMode,WCDMA
CONN_cellTimeZone,TESLA+5:0
CONN_cellUTCTime,Sun Nov 11 19:13:40 2018
CONN_connectedToInternet,true
CONN_gwMonitorModemPower,false
CONN_modemCommandResponse,
CONN_modemConfig,sierra_gsm
CONN_modemResetLoopDetected,0
CONN_registrationStatus,Registered
CONN_version,1.1
CONN_vpnConnected,true
CONN_vpnInterfaceIP,xxx
CONN_wifiActive,true
CONN_wifiConnected,true
CONN_wifiInterfaceIP,192.168.86.23
CONN_wifiInternetCheckFailed,0
CONN_wifiOnlineCheckFailed,0
DASMapDbg_CSASource,
DASMapDbg_CurrentGeohash,
DASMapDbg_DbEntrySelected,false
DASMapDbg_DbFilesLoaded,false
DASMapDbg_DbFitSuccessful,false
DASMapDbg_DbIntegrationSuccess,false
DASMapDbg_NumPointsToPolyFit,0.000
DASMapDbg_adasAppDebugTrigger,0
DASMapDbg_autoParkAvailability,
DASMapDbg_autosteerRestricted,false
DASMapDbg_blacklistSource,
DASMapDbg_controlPointHeading,0.000
DASMapDbg_controlPointLat,0.000
DASMapDbg_controlPointLon,0.000
DASMapDbg_controlledAccess,false
DASMapDbg_csaCurvHealth,0
DASMapDbg_csaCurvMapFitRoadAngle,0.000
DASMapDbg_csaCurvMapFitRoadDistance,0.000
DASMapDbg_csaCurvPolyC1,0.000
DASMapDbg_csaCurvPolyC2,0.000
DASMapDbg_csaCurvPolyC3,0.000
DASMapDbg_csaCurvValid,false
DASMapDbg_csaMppPt0X,0.000
DASMapDbg_csaMppPt0Y,0.000
DASMapDbg_csaMppPt1X,0.000
DASMapDbg_csaMppPt1Y,0.000
DASMapDbg_csaMppPt2X,0.000
DASMapDbg_csaMppPt2Y,0.000
DASMapDbg_csaMppPt3X,0.000
DASMapDbg_csaMppPt3Y,0.000
DASMapDbg_csaMppPt4X,0.000
DASMapDbg_csaMppPt4Y,0.000
DASMapDbg_csaMppPt5X,0.000
DASMapDbg_csaMppPt5Y,0.000
DASMapDbg_csaMppVehicleSORX,0.000
DASMapDbg_csaMppVehicleSORY,0.000
DASMapDbg_currentlySendingDatabaseValues,false
DASMapDbg_curvatureHealth,0
DASMapDbg_curvatureMapFitRoadAngle,0.000
DASMapDbg_curvatureMapFitRoadDistance,0.000
DASMapDbg_curvaturePolyC1,0.000
DASMapDbg_curvaturePolyC2,0.000
DASMapDbg_curvaturePolyC3,0.000
DASMapDbg_curvatureTrigger,0
DASMapDbg_curvatureValid,false
DASMapDbg_distanceToControlPoint,0.000
DASMapDbg_distanceToEndOfNextRadarTarget,0.000
DASMapDbg_distanceToNextRadarTarget,0.000
DASMapDbg_fleetAcceleration,0.000
DASMapDbg_fleetSpeed,0.000
DASMapDbg_geometrySource,
DASMapDbg_gpsHeading,0.000
DASMapDbg_gpsLat,0.000
DASMapDbg_gpsLon,0.000
DASMapDbg_headingDiffToControlPoint,0.000
DASMapDbg_heightOfNextRadarTarget,0.000
DASMapDbg_hmmSplineProbability,0.000
DASMapDbg_integratedGpsHeading,0.000
DASMapDbg_integratedGpsLat,0.000
DASMapDbg_integratedGpsLon,0.000
DASMapDbg_metaDataSource,
DASMapDbg_nextBranchDistanceInMeters,0.000
DASMapDbg_nextBranchOffRampSide,
DASMapDbg_offrampCurvHealth,0
DASMapDbg_offrampCurvMapFitRoadAngle,0.000
DASMapDbg_offrampCurvMapFitRoadDistance,0.000
DASMapDbg_offrampCurvPolyC1,0.000
DASMapDbg_offrampCurvPolyC2,0.000
DASMapDbg_offrampCurvPolyC3,0.000
DASMapDbg_offrampCurvValid,false
DASMapDbg_onHighway,false
DASMapDbg_pedalMisapplicationMitigationEnabled,false
DASMapDbg_radarBrakingEnabled,false
DASMapDbg_ramp,false
DASMapDbg_ramp_type,
DASMapDbg_roadClass,0
DASMapDbg_speedLimit,0.000
DASMapDbg_speedLimitUnitsMetric,false
DASMapDbg_tValLat,0.000
DASMapDbg_tValLon,0.000
DASMapDbg_tileBlacklistAvailable,false
DASMapDbg_tileCenterTileVersion,
DASMapDbg_tileCenterTileVersionPlusSchema,
DASMapDbg_tileCurrentHash,
DASMapDbg_tileDataValid,false
DASMapDbg_tileDistanceFromSpline,0.000
DASMapDbg_tileNearestSpline,0
DASMapDbg_tileSplineT,0.000
DASMapDbg_tileSplineWidth,0.000
DASMapDbg_tileTrust,0.000
DASMapDbg_trustRadarMap,false
DASMapDbg_tunnel,false
DAS_ACC_report,<invalid>
DAS_accSpeedLimit,0.000
DAS_accState,<invalid>
DAS_autoEmergencyBraking,false
DAS_autoLaneChangeState,<invalid>
DAS_autoparkReady,false
DAS_autopilotAbortReason,<invalid>
DAS_autopilotActivationFailure,<invalid>
DAS_autopilotHandsOnState,<invalid>
DAS_autopilotState,<invalid>
DAS_autosteerBottsDotsUsage,<invalid>
DAS_autosteerHPPUsage,<invalid>
DAS_autosteerHealthAnomalyLevel,0
DAS_autosteerHealthState,<invalid>
DAS_autosteerMIA,false
DAS_autosteerModelUsage,<invalid>
DAS_autosteerNavigationUsage,<invalid>
DAS_autosteerVehiclesUsage,<invalid>
DAS_behaviorReport,<invalid>
DAS_behaviorType,<invalid>
DAS_blindSpotRearLeft,<invalid>
DAS_blindSpotRearRight,<invalid>
DAS_constructionZone,false
DAS_controlDistance,0.000
DAS_controllerHealth,<invalid>
DAS_controllerRef,<invalid>
DAS_cruiseCutInVehicleDistance,0.000
DAS_cruiseCutInVehicleID,0
DAS_cruiseCutInVehicleLatPosition,0.000
DAS_cruiseCutInVehicleRelVelocity,0.000
DAS_cruiseCutInVehicleRelevantForControl,false
DAS_cruiseCutInVehicleType,<invalid>
DAS_cruiseHold,false
DAS_cruiseLeadVehicle2Distance,0.000
DAS_cruiseLeadVehicle2ID,0
DAS_cruiseLeadVehicle2LatPosition,0.000
DAS_cruiseLeadVehicle2RelVelocity,0.000
DAS_cruiseLeadVehicle2RelevantForControl,false
DAS_cruiseLeadVehicle2Type,<invalid>
DAS_cruiseLeadVehicleDistance,0.000
DAS_cruiseLeadVehicleID,0
DAS_cruiseLeadVehicleLatPosition,0.000
DAS_cruiseLeadVehicleRelVelocity,0.000
DAS_cruiseLeadVehicleRelevantForControl,false
DAS_cruiseLeadVehicleType,<invalid>
DAS_cruiseLeftVehicle2Distance,0.000
DAS_cruiseLeftVehicle2ID,0
DAS_cruiseLeftVehicle2LatPosition,0.000
DAS_cruiseLeftVehicle2RelVelocity,0.000
DAS_cruiseLeftVehicle2RelevantForControl,false
DAS_cruiseLeftVehicle2Type,<invalid>
DAS_cruiseLeftVehicleDistance,0.000
DAS_cruiseLeftVehicleID,0
DAS_cruiseLeftVehicleLatPosition,0.000
DAS_cruiseLeftVehicleRelVelocity,0.000
DAS_cruiseLeftVehicleRelevantForControl,false
DAS_cruiseLeftVehicleType,<invalid>
DAS_cruiseRightVehicle2Distance,0.000
DAS_cruiseRightVehicle2ID,0
DAS_cruiseRightVehicle2LatPosition,0.000
DAS_cruiseRightVehicle2RelVelocity,0.000
DAS_cruiseRightVehicle2RelevantForControl,false
DAS_cruiseRightVehicle2Type,<invalid>
DAS_cruiseRightVehicleDistance,0.000
DAS_cruiseRightVehicleID,0
DAS_cruiseRightVehicleLatPosition,0.000
DAS_cruiseRightVehicleRelVelocity,0.000
DAS_cruiseRightVehicleRelevantForControl,false
DAS_cruiseRightVehicleType,<invalid>
DAS_cruiseSnapSpeed,0
DAS_csaState,<invalid>
DAS_driverInteractionLevel,<invalid>
DAS_fleetSpeedState,<invalid>
DAS_hazardsRequest,false
DAS_highLowBeamDecision,<invalid>
DAS_intelligentSpeedAssist,<invalid>
DAS_laneChangeState,<invalid>
DAS_laneDepartureWarning,<invalid>
DAS_lastAutosteerAbortReason,<invalid>
DAS_lastLinePreferenceReason,<invalid>
DAS_lastWatchdogCode,<invalid>
DAS_leftFork,<invalid>
DAS_leftLaneExists,false
DAS_leftLineUsage,<invalid>
DAS_localizerHealth,<invalid>
DAS_longCollisionWarning,<invalid>
DAS_lssState,<invalid>
DAS_manualSpeedAssist,<invalid>
DAS_mapAvailability,false
DAS_missionPlan,<invalid>
DAS_navAvailable,false
DAS_navDistance,0
DAS_offsetSide,<invalid>
DAS_plannerState,<invalid>
DAS_radarTelemetryTrigger,<invalid>
DAS_regulatorySpeedAssist,<invalid>
DAS_rightFork,<invalid>
DAS_rightLaneExists,false
DAS_rightLineUsage,<invalid>
DAS_roadEstimator,<invalid>
DAS_roadSignColor,<invalid>
DAS_roadSignControlActive,false
DAS_roadSignId,<invalid>
DAS_roadSignSource,<invalid>
DAS_roadSignStopLineDist,0.000
DAS_roadSurfaceType,<invalid>
DAS_rqstedBehaviorStatus,<invalid>
DAS_setSpeed,0.000
DAS_sideCollisionAvoid,<invalid>
DAS_sideCollisionInhibit,false
DAS_sideCollisionWarning,<invalid>
DAS_signSpeedLimit,0
DAS_summonAvailable,false
